value,chindex,chlabel,bini,binlabel,SubjID
2.366,3,F3,39,Correct_Rejections,S106
0.635,4,F7,39,Correct_Rejections,S106
1.716,5,FC5,39,Correct_Rejections,S106
3.355,6,FC1,39,Correct_Rejections,S106
3.024,7,C3,39,Correct_Rejections,S106
-0.283,8,T7,39,Correct_Rejections,S106
2.501,9,CP5,39,Correct_Rejections,S106
5.228,10,CP1,39,Correct_Rejections,S106
8.259,11,Pz,39,Correct_Rejections,S106
7.016,12,P3,39,Correct_Rejections,S106
2.514,13,P7,39,Correct_Rejections,S106
7.080,14,O1,39,Correct_Rejections,S106
9.077,15,O2,39,Correct_Rejections,S106
7.167,16,P4,39,Correct_Rejections,S106
2.402,17,P8,39,Correct_Rejections,S106
3.143,18,CP6,39,Correct_Rejections,S106
6.018,19,CP2,39,Correct_Rejections,S106
4.539,20,CZ,39,Correct_Rejections,S106
4.011,21,C4,39,Correct_Rejections,S106
0.259,22,T8,39,Correct_Rejections,S106
1.568,23,FC6,39,Correct_Rejections,S106
3.499,24,FC2,39,Correct_Rejections,S106
1.666,25,F4,39,Correct_Rejections,S106
0.830,26,F8,39,Correct_Rejections,S106
0.044,27,FP2,39,Correct_Rejections,S106
-4.507,1,FP1,40,False_Alarms,S106
0.349,2,Fz,40,False_Alarms,S106
-1.087,3,F3,40,False_Alarms,S106
-2.112,4,F7,40,False_Alarms,S106
-1.751,5,FC5,40,False_Alarms,S106
-0.616,6,FC1,40,False_Alarms,S106
-1.906,7,C3,40,False_Alarms,S106
-2.980,8,T7,40,False_Alarms,S106
-0.882,9,CP5,40,False_Alarms,S106
0.996,10,CP1,40,False_Alarms,S106
4.005,11,Pz,40,False_Alarms,S106
3.833,12,P3,40,False_Alarms,S106
0.233,13,P7,40,False_Alarms,S106
5.764,14,O1,40,False_Alarms,S106
8.214,15,O2,40,False_Alarms,S106
5.842,16,P4,40,False_Alarms,S106
2.806,17,P8,40,False_Alarms,S106
1.897,18,CP6,40,False_Alarms,S106
2.874,19,CP2,40,False_Alarms,S106
0.006,20,CZ,40,False_Alarms,S106
1.724,21,C4,40,False_Alarms,S106
0.087,22,T8,40,False_Alarms,S106
0.257,23,FC6,40,False_Alarms,S106
0.254,24,FC2,40,False_Alarms,S106
-1.415,25,F4,40,False_Alarms,S106
-0.912,26,F8,40,False_Alarms,S106
-3.116,27,FP2,40,False_Alarms,S106
-4.835,1,FP1,41,Old,S106
-3.188,2,Fz,41,Old,S106
-3.108,3,F3,41,Old,S106
-3.186,4,F7,41,Old,S106
-2.668,5,FC5,41,Old,S106
-2.484,6,FC1,41,Old,S106
-1.996,7,C3,41,Old,S106
-2.967,8,T7,41,Old,S106
-0.948,9,CP5,41,Old,S106
-0.407,10,CP1,41,Old,S106
2.377,11,Pz,41,Old,S106
2.629,12,P3,41,Old,S106
1.435,13,P7,41,Old,S106
5.281,14,O1,41,Old,S106
6.883,15,O2,41,Old,S106
2.658,16,P4,41,Old,S106
1.111,17,P8,41,Old,S106
-1.283,18,CP6,41,Old,S106
0.131,19,CP2,41,Old,S106
-1.964,20,CZ,41,Old,S106
-1.321,21,C4,41,Old,S106
-2.646,22,T8,41,Old,S106
-2.921,23,FC6,41,Old,S106
-2.216,24,FC2,41,Old,S106
-3.487,25,F4,41,Old,S106
-3.682,26,F8,41,Old,S106
-4.708,27,FP2,41,Old,S106
-2.489,1,FP1,42,New,S106
1.507,2,Fz,42,New,S106
0.640,3,F3,42,New,S106
-0.738,4,F7,42,New,S106
-0.018,5,FC5,42,New,S106
1.370,6,FC1,42,New,S106
0.559,7,C3,42,New,S106
-1.631,8,T7,42,New,S106
0.809,9,CP5,42,New,S106
3.112,10,CP1,42,New,S106
6.132,11,Pz,42,New,S106
5.424,12,P3,42,New,S106
1.374,13,P7,42,New,S106
6.422,14,O1,42,New,S106
8.645,15,O2,42,New,S106
6.504,16,P4,42,New,S106
2.604,17,P8,42,New,S106
2.520,18,CP6,42,New,S106
4.446,19,CP2,42,New,S106
2.273,20,CZ,42,New,S106
2.867,21,C4,42,New,S106
0.173,22,T8,42,New,S106
0.912,23,FC6,42,New,S106
1.877,24,FC2,42,New,S106
0.126,25,F4,42,New,S106
-0.041,26,F8,42,New,S106
-1.536,27,FP2,42,New,S106
-2.319,1,FP1,43,Correct_Responses,S106
0.261,2,Fz,43,Correct_Responses,S106
0.097,3,F3,43,Correct_Responses,S106
-1.159,4,F7,43,Correct_Responses,S106
-0.118,5,FC5,43,Correct_Responses,S106
1.085,6,FC1,43,Correct_Responses,S106
1.087,7,C3,43,Correct_Responses,S106
-1.342,8,T7,43,Correct_Responses,S106
1.252,9,CP5,43,Correct_Responses,S106
3.086,10,CP1,43,Correct_Responses,S106
6.026,11,Pz,43,Correct_Responses,S106
5.469,12,P3,43,Correct_Responses,S106
2.240,13,P7,43,Correct_Responses,S106
6.753,14,O1,43,Correct_Responses,S106
8.361,15,O2,43,Correct_Responses,S106
5.438,16,P4,43,Correct_Responses,S106
1.696,17,P8,43,Correct_Responses,S106
1.356,18,CP6,43,Correct_Responses,S106
3.767,19,CP2,43,Correct_Responses,S106
2.097,20,CZ,43,Correct_Responses,S106
2.031,21,C4,43,Correct_Responses,S106
-0.992,22,T8,43,Correct_Responses,S106
-0.312,23,FC6,43,Correct_Responses,S106
