       value	     chindex	     chlabel	        bini	                     binlabel	         ERPset
      -2.932	          27	         FP2	          39	           Correct_Rejections	S137_vsl_dprime
      -3.955	           1	         FP1	          40	                 False_Alarms	S137_vsl_dprime
      -6.129	           2	          Fz	          40	                 False_Alarms	S137_vsl_dprime
      -6.153	           3	          F3	          40	                 False_Alarms	S137_vsl_dprime
      -3.747	           4	          F7	          40	                 False_Alarms	S137_vsl_dprime
      -4.245	           5	         FC5	          40	                 False_Alarms	S137_vsl_dprime
      -5.562	           6	         FC1	          40	                 False_Alarms	S137_vsl_dprime
      -4.102	           7	          C3	          40	                 False_Alarms	S137_vsl_dprime
      -3.196	           8	          T7	          40	                 False_Alarms	S137_vsl_dprime
      -2.097	           9	         CP5	          40	                 False_Alarms	S137_vsl_dprime
      -3.807	          10	         CP1	          40	                 False_Alarms	S137_vsl_dprime
      -3.868	          11	          Pz	          40	                 False_Alarms	S137_vsl_dprime
      -1.933	          12	          P3	          40	                 False_Alarms	S137_vsl_dprime
       0.148	          13	          P7	          40	                 False_Alarms	S137_vsl_dprime
       2.919	          14	          O1	          40	                 False_Alarms	S137_vsl_dprime
       0.807	          15	          O2	          40	                 False_Alarms	S137_vsl_dprime
      -2.107	          16	          P4	          40	                 False_Alarms	S137_vsl_dprime
       0.033	          17	          P8	          40	                 False_Alarms	S137_vsl_dprime
      -2.179	          18	         CP6	          40	                 False_Alarms	S137_vsl_dprime
      -4.931	          19	         CP2	          40	                 False_Alarms	S137_vsl_dprime
      -6.783	          20	          CZ	          40	                 False_Alarms	S137_vsl_dprime
      -4.384	          21	          C4	          40	                 False_Alarms	S137_vsl_dprime
      -2.406	          22	          T8	          40	                 False_Alarms	S137_vsl_dprime
      -3.987	          23	         FC6	          40	                 False_Alarms	S137_vsl_dprime
      -6.095	          24	         FC2	          40	                 False_Alarms	S137_vsl_dprime
      -5.259	          25	          F4	          40	                 False_Alarms	S137_vsl_dprime
      -3.271	          26	          F8	          40	                 False_Alarms	S137_vsl_dprime
      -3.460	          27	         FP2	          40	                 False_Alarms	S137_vsl_dprime
      -5.712	           1	         FP1	          41	                          Old	S137_vsl_dprime
      -6.671	           2	          Fz	          41	                          Old	S137_vsl_dprime
      -6.923	           3	          F3	          41	                          Old	S137_vsl_dprime
      -3.801	           4	          F7	          41	                          Old	S137_vsl_dprime
      -4.971	           5	         FC5	          41	                          Old	S137_vsl_dprime
      -7.190	           6	         FC1	          41	                          Old	S137_vsl_dprime
      -6.010	           7	          C3	          41	                          Old	S137_vsl_dprime
      -3.131	           8	          T7	          41	                          Old	S137_vsl_dprime
      -3.207	           9	         CP5	          41	                          Old	S137_vsl_dprime
      -5.565	          10	         CP1	          41	                          Old	S137_vsl_dprime
      -4.618	          11	          Pz	          41	                          Old	S137_vsl_dprime
      -2.978	          12	          P3	          41	                          Old	S137_vsl_dprime
       0.357	          13	          P7	          41	                          Old	S137_vsl_dprime
       2.580	          14	          O1	          41	                          Old	S137_vsl_dprime
       0.359	          15	          O2	          41	                          Old	S137_vsl_dprime
      -3.435	          16	          P4	          41	                          Old	S137_vsl_dprime
      -0.940	          17	          P8	          41	                          Old	S137_vsl_dprime
      -3.581	          18	         CP6	          41	                          Old	S137_vsl_dprime
      -5.707	          19	         CP2	          41	                          Old	S137_vsl_dprime
      -6.947	          20	          CZ	          41	                          Old	S137_vsl_dprime
      -5.585	          21	          C4	          41	                          Old	S137_vsl_dprime
      -3.519	          22	          T8	          41	                          Old	S137_vsl_dprime
      -4.567	          23	         FC6	          41	                          Old	S137_vsl_dprime
      -6.950	          24	         FC2	          41	                          Old	S137_vsl_dprime
      -6.040	          25	          F4	          41	                          Old	S137_vsl_dprime
      -4.272	          26	          F8	          41	                          Old	S137_vsl_dprime
      -5.855	          27	         FP2	          41	                          Old	S137_vsl_dprime
      -3.643	           1	         FP1	          42	                          New	S137_vsl_dprime
      -5.247	           2	          Fz	          42	                          New	S137_vsl_dprime
      -4.859	           3	          F3	          42	                          New	S137_vsl_dprime
      -3.112	           4	          F7	          42	                          New	S137_vsl_dprime
      -3.068	           5	         FC5	          42	                          New	S137_vsl_dprime
      -4.454	           6	         FC1	          42	                          New	S137_vsl_dprime
      -3.342	           7	          C3	          42	                          New	S137_vsl_dprime
      -2.016	           8	          T7	          42	                          New	S137_vsl_dprime
      -0.571	           9	         CP5	          42	                          New	S137_vsl_dprime
      -3.268	          10	         CP1	          42	                          New	S137_vsl_dprime
      -2.907	          11	          Pz	          42	                          New	S137_vsl_dprime
      -0.949	          12	          P3	          42	                          New	S137_vsl_dprime
       0.795	          13	          P7	          42	                          New	S137_vsl_dprime
       3.325	          14	          O1	          42	                          New	S137_vsl_dprime
       0.964	          15	          O2	          42	                          New	S137_vsl_dprime
      -2.338	          16	          P4	          42	                          New	S137_vsl_dprime
       0.211	          17	          P8	          42	                          New	S137_vsl_dprime
      -2.226	          18	         CP6	          42	                          New	S137_vsl_dprime
      -4.182	          19	         CP2	          42	                          New	S137_vsl_dprime
      -5.476	          20	          CZ	          42	                          New	S137_vsl_dprime
      -3.870	          21	          C4	          42	                          New	S137_vsl_dprime
      -2.312	          22	          T8	          42	                          New	S137_vsl_dprime
      -3.478	          23	         FC6	          42	                          New	S137_vsl_dprime
      -4.823	          24	         FC2	          42	                          New	S137_vsl_dprime
      -4.545	          25	          F4	          42	                          New	S137_vsl_dprime
      -3.106	          26	          F8	          42	                          New	S137_vsl_dprime
      -3.196	          27	         FP2	          42	                          New	S137_vsl_dprime
      -4.950	           1	         FP1	          43	            Correct_Responses	S137_vsl_dprime
      -6.145	           2	          Fz	          43	            Correct_Responses	S137_vsl_dprime
      -5.758	           3	          F3	          43	            Correct_Responses	S137_vsl_dprime
      -3.201	           4	          F7	          43	            Correct_Responses	S137_vsl_dprime
      -3.867	           5	         FC5	          43	            Correct_Responses	S137_vsl_dprime
      -5.353	           6	         FC1	          43	            Correct_Responses	S137_vsl_dprime
      -4.277	           7	          C3	          43	            Correct_Responses	S137_vsl_dprime
      -2.295	           8	          T7	          43	            Correct_Responses	S137_vsl_dprime
      -1.582	           9	         CP5	          43	            Correct_Responses	S137_vsl_dprime
      -4.384	          10	         CP1	          43	            Correct_Responses	S137_vsl_dprime
      -3.528	          11	          Pz	          43	            Correct_Responses	S137_vsl_dprime
      -1.778	          12	          P3	          43	            Correct_Responses	S137_vsl_dprime
       0.602	          13	          P7	          43	            Correct_Responses	S137_vsl_dprime
       2.672	          14	          O1	          43	            Correct_Responses	S137_vsl_dprime
       0.107	          15	          O2	          43	            Correct_Responses	S137_vsl_dprime
      -3.170	          16	          P4	          43	            Correct_Responses	S137_vsl_dprime
      -0.779	          17	          P8	          43	            Correct_Responses	S137_vsl_dprime
      -3.036	          18	         CP6	          43	            Correct_Responses	S137_vsl_dprime
      -5.009	          19	         CP2	          43	            Correct_Responses	S137_vsl_dprime
      -5.807	          20	          CZ	          43	            Correct_Responses	S137_vsl_dprime
      -4.712	          21	          C4	          43	            Correct_Responses	S137_vsl_dprime
      -3.115	          22	          T8	          43	            Correct_Responses	S137_vsl_dprime
      -3.772	          23	         FC6	          43	            Correct_Responses	S137_vsl_dprime
      -5.531	          24	         FC2	          43	            Correct_Responses	S137_vsl_dprime
      -5.049	          25	          F4	          43	            Correct_Responses	S137_vsl_dprime
      -3.380	          26	          F8	          43	            Correct_Responses	S137_vsl_dprime
      -4.503	          27	         FP2	          43	            Correct_Responses	S137_vsl_dprime
      -4.405	           1	         FP1	          44	          Incorrect_Responses	S137_vsl_dprime
      -5.773	           2	          Fz	          44	          Incorrect_Responses	S137_vsl_dprime
      -6.024	           3	          F3	          44	          Incorrect_Responses	S137_vsl_dprime
      -3.712	           4	          F7	          44	          Incorrect_Responses	S137_vsl_dprime
      -4.172	           5	         FC5	          44	          Incorrect_Responses	S137_vsl_dprime
      -6.291	           6	         FC1	          44	          Incorrect_Responses	S137_vsl_dprime
      -5.075	           7	          C3	          44	          Incorrect_Responses	S137_vsl_dprime
      -2.852	           8	          T7	          44	          Incorrect_Responses	S137_vsl_dprime
      -2.196	           9	         CP5	          44	          Incorrect_Responses	S137_vsl_dprime
      -4.449	          10	         CP1	          44	          Incorrect_Responses	S137_vsl_dprime
      -3.997	          11	          Pz	          44	          Incorrect_Responses	S137_vsl_dprime
      -2.149	          12	          P3	          44	          Incorrect_Responses	S137_vsl_dprime
       0.550	          13	          P7	          44	          Incorrect_Responses	S137_vsl_dprime
       3.233	          14	          O1	          44	          Incorrect_Responses	S137_vsl_dprime
       1.216	          15	          O2	          44	          Incorrect_Responses	S137_vsl_dprime
      -2.604	          16	          P4	          44	          Incorrect_Responses	S137_vsl_dprime
       0.050	          17	          P8	          44	          Incorrect_Responses	S137_vsl_dprime
      -2.771	          18	         CP6	          44	          Incorrect_Responses	S137_vsl_dprime
      -4.879	          19	         CP2	          44	          Incorrect_Responses	S137_vsl_dprime
      -6.616	          20	          CZ	          44	          Incorrect_Responses	S137_vsl_dprime
      -4.742	          21	          C4	          44	          Incorrect_Responses	S137_vsl_dprime
      -2.716	          22	          T8	          44	          Incorrect_Responses	S137_vsl_dprime
